Node,Group,UpBinRatio
ANGPTL1,C3,0.838130997079683
ANGPTL1,C4,0.638720829732066
ANGPTL1,C5,0.935064935064935
ANGPTL1,C6,0.905555555555556
ANGPTL3,C1,0.658289028516191
ANGPTL3,C2,0.652371134020619
ANGPTL3,C3,0.762697396500213
ANGPTL3,C4,0.62774363476734
ANGPTL3,C5,0.436363636363636
ANGPTL3,C6,0.605555555555556
ANXA1,C1,0.64817880794702
ANXA1,C2,0.782709378618294
ANXA1,C3,0.734668335419274
ANXA1,C4,0.480103806228374
ANXA1,C5,0.0883116883116883
ANXA1,C6,0.944444444444444
APCDD1,C1,0.761175496688742
APCDD1,C2,0.725202624469317
APCDD1,C3,0.524207011686144
APCDD1,C4,0.549697493517718
APCDD1,C5,0.942857142857143
APCDD1,C6,0.783333333333333
APLN,C1,0.712748344370861
APLN,C2,0.583944423002702
APLN,C3,0.618113522537563
APLN,C4,0.77009507346586
APLN,C5,0.976623376623377
APLN,C6,0.727777777777778
APLP2,C1,0.591887417218543
APLP2,C2,0.521806252412196
APLP2,C3,0.874373956594324
APLP2,C4,0.719965427830596
APLP2,C5,0.67012987012987
APLP2,C6,0.811111111111111
APOB,C1,0.61407867494824
APOB,C2,0.577769201080664
APOB,C3,0.785148101793909
APOB,C4,0.698357821953328
APOB,C5,0.779220779220779
APOB,C6,0.8
APOD,C1,0.6875
APOD,C2,0.64415283674257
APOD,C3,0.662077596996245
APOD,C4,0.582179930795848
APOD,C5,0.937662337662338
APOD,C6,0.905555555555556
APOE,C1,0.487370600414079
APOE,C2,0.693168660748746
APOE,C3,0.71380892782645
APOE,C4,0.777009507346586
APOE,C5,0.971428571428571
APOE,C6,0.872222222222222
APP,C1,0.653416149068323
APP,C2,0.543419529139328
APP,C3,0.772632457238214
APP,C4,0.656006914433881
APP,C5,0.979220779220779
APP,C6,0.777777777777778
AREG,C1,0.820364238410596
AREG,C2,0.800077190274025
AREG,C3,0.624791318864775
AREG,C4,0.340535868625756
AREG,C5,0.0311688311688312
AREG,C6,0.866666666666667
ARF1,C1,0.760347682119205
ARF1,C2,0.709378618294095
ARF1,C3,0.678765123070505
ARF1,C4,0.579584775086505
ARF1,C5,0.0415584415584416
ARF1,C6,0.7
ARTN,C1,0.833609271523179
ARTN,C2,0.802316602316602
ARTN,C3,0.531914893617021
ARTN,C4,0.48314606741573
ARTN,C5,0.212987012987013
ARTN,C6,0.588888888888889
ASIP,C1,0.579470198675497
ASIP,C2,0.626785025086839
ASIP,C3,0.730496453900709
ASIP,C4,0.756920415224914
ASIP,C5,0.864935064935065
ASIP,C6,0.727777777777778
ATP6AP2,C1,0.624586092715232
ATP6AP2,C2,0.644538788112698
ATP6AP2,C3,0.729131886477462
ATP6AP2,C4,0.67847882454624
ATP6AP2,C5,0.675324675324675
ATP6AP2,C6,0.794444444444444
ATRN,C1,0.593788819875776
ATRN,C2,0.55345426476264
ATRN,C3,0.76846057571965
ATRN,C4,0.776145203111495
ATRN,C5,0.987012987012987
ATRN,C6,0.7
AVP,C1,0.670142700329309
AVP,C2,0.663280853224987
AVP,C3,0.6698606271777
AVP,C4,0.689557855126999
AVP,C5,0.654545454545455
AVP,C6,0.666666666666667
