sample,link
TCGA-66-2767,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-66-2767-01Z-00-DX1"">TCGA-66-2767-01Z-00-DX1</a>"
TCGA-67-3771,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-67-3771-01Z-00-DX1"">TCGA-67-3771-01Z-00-DX1</a>"
TCGA-70-6722,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-70-6722-01Z-00-DX1"">TCGA-70-6722-01Z-00-DX1</a>"
TCGA-70-6723,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-70-6723-01Z-00-DX1"">TCGA-70-6723-01Z-00-DX1</a>"
TCGA-71-8520,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-71-8520-01Z-00-DX1"">TCGA-71-8520-01Z-00-DX1</a>"
TCGA-77-6845,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-77-6845-01Z-00-DX1"">TCGA-77-6845-01Z-00-DX1</a>"
TCGA-77-7337,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-77-7337-01Z-00-DX1"">TCGA-77-7337-01Z-00-DX1</a>"
TCGA-77-8009,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-77-8009-01Z-00-DX1"">TCGA-77-8009-01Z-00-DX1</a>"
TCGA-77-8133,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-77-8133-01Z-00-DX1"">TCGA-77-8133-01Z-00-DX1</a>"
TCGA-77-8136,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-77-8136-01Z-00-DX1"">TCGA-77-8136-01Z-00-DX1</a>"
TCGA-77-8140,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-77-8140-01Z-00-DX1"">TCGA-77-8140-01Z-00-DX1</a>"
TCGA-77-8144,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-77-8144-01Z-00-DX1"">TCGA-77-8144-01Z-00-DX1</a>"
TCGA-77-A5G3,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-77-A5G3-01Z-00-DX1"">TCGA-77-A5G3-01Z-00-DX1</a>"
TCGA-77-A5GF,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-77-A5GF-01Z-00-DX1"">TCGA-77-A5GF-01Z-00-DX1</a>"
TCGA-78-7147,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-78-7147-01Z-00-DX1"">TCGA-78-7147-01Z-00-DX1</a>"
TCGA-78-8648,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-78-8648-01Z-00-DX1"">TCGA-78-8648-01Z-00-DX1</a>"
TCGA-80-5608,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-80-5608-01Z-00-DX1"">TCGA-80-5608-01Z-00-DX1</a>"
TCGA-85-8351,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-85-8351-01Z-00-DX1"">TCGA-85-8351-01Z-00-DX1</a>"
TCGA-85-8354,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-85-8354-01Z-00-DX1"">TCGA-85-8354-01Z-00-DX1</a>"
TCGA-85-8479,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-85-8479-01Z-00-DX1"">TCGA-85-8479-01Z-00-DX1</a>"
TCGA-85-8481,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-85-8481-01Z-00-DX1"">TCGA-85-8481-01Z-00-DX1</a>"
